epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.2372,3.46651,3.62861,1.3209,0.05426,0.12676,0.0364,0.01166,2.97909,3.31602,0.94465,0.00026,0.00026,0.00026
2,22.2995,2.74023,1.80216,0.95402,0.09354,0.21855,0.18125,0.07394,2.87475,2.49781,0.93618,0.000534654,0.000534654,0.000534654
3,31.587,2.63206,1.40579,0.9181,0.6053,0.26469,0.33076,0.10324,2.94713,1.60457,0.96278,0.000803764,0.000803764,0.000803764
4,41.017,2.6114,1.3105,0.89369,0.67948,0.39862,0.48332,0.16047,2.64494,1.36515,0.90967,0.00106733,0.00106733,0.00106733
5,49.8288,2.55215,1.25723,0.87763,0.62641,0.36684,0.45203,0.17056,2.63414,1.32822,0.89611,0.00132535,0.00132535,0.00132535
6,58.23,2.47915,1.19449,0.87695,0.6269,0.44997,0.51457,0.19465,2.40945,1.2913,0.87584,0.00157783,0.00157783,0.00157783
7,66.3222,2.37529,1.14203,0.8639,0.65393,0.53143,0.58406,0.21358,2.33456,1.22635,0.87079,0.00182476,0.00182476,0.00182476
8,74.6364,2.35955,1.12758,0.85711,0.58947,0.49958,0.52511,0.21196,2.32929,1.21484,0.8636,0.0018614,0.0018614,0.0018614
9,83.538,2.31107,1.09294,0.85762,0.65208,0.54489,0.59095,0.22663,2.26281,1.15507,0.85715,0.0018416,0.0018416,0.0018416
10,91.5067,2.30911,1.08277,0.84727,0.68006,0.60406,0.64185,0.24658,2.18477,1.03162,0.85217,0.0018218,0.0018218,0.0018218
11,100.126,2.23043,1.04465,0.85861,0.68421,0.61442,0.65578,0.26779,2.12783,0.98144,0.84829,0.001802,0.001802,0.001802
12,108.59,2.24356,1.05762,0.84404,0.71085,0.6213,0.66853,0.26927,2.14137,0.96707,0.8511,0.0017822,0.0017822,0.0017822
13,117.122,2.18286,1.00696,0.85124,0.66209,0.59596,0.62786,0.25873,2.11647,0.96153,0.84358,0.0017624,0.0017624,0.0017624
14,125.11,2.19023,1.02099,0.84815,0.70008,0.63448,0.6787,0.28012,2.11272,0.94532,0.84855,0.0017426,0.0017426,0.0017426
15,133.792,2.18302,1.0115,0.84993,0.68792,0.59885,0.64669,0.27146,2.09511,0.9452,0.84112,0.0017228,0.0017228,0.0017228
16,142.154,2.11706,0.98157,0.84289,0.67987,0.63101,0.66675,0.27911,2.07503,0.93723,0.84211,0.001703,0.001703,0.001703
17,150.445,2.11342,0.98678,0.83847,0.6698,0.58984,0.62412,0.25967,2.12059,0.94342,0.843,0.0016832,0.0016832,0.0016832
18,158.628,2.12904,1.00131,0.84032,0.72421,0.64238,0.69482,0.30541,1.98788,0.89562,0.83767,0.0016634,0.0016634,0.0016634
19,166.417,2.11125,0.97743,0.83485,0.71046,0.63423,0.6828,0.29051,2.01969,0.91569,0.83751,0.0016436,0.0016436,0.0016436
20,174.332,2.07384,0.96532,0.83644,0.71741,0.65229,0.69408,0.30222,1.97033,0.8832,0.83508,0.0016238,0.0016238,0.0016238
21,182.623,2.07099,0.94664,0.83738,0.71836,0.63945,0.69084,0.3057,1.99025,0.89319,0.83607,0.001604,0.001604,0.001604
22,190.896,2.0628,0.96179,0.83504,0.73464,0.66564,0.71766,0.3076,1.99008,0.87872,0.83607,0.0015842,0.0015842,0.0015842
23,199.239,2.08767,0.93226,0.83506,0.69149,0.62078,0.65533,0.27921,2.06538,0.89932,0.83986,0.0015644,0.0015644,0.0015644
